# Collection of Eggs for Easter 2025
# Field order: Chocolatier, volume, weight, chocolate, wrapper, filling
Darrell Lea,3343.993,3344,0,1,2
Cadbury,580.498,580,2,0,2
Carob Creations,1686.628,1687,2,1,2
Kinder,286.877,287,2,1,2
Ferrero,3949.825,3950,1,1,2
Kinder,2173.56,2174,0,0,2
Ferrero,2204.798,2205,2,1,2
Ferrero,3279.829,9839,1,1,0
Cadbury,2833.449,2833,1,2,2
Cadbury,426.94,427,0,2,2
Kinder,2856.537,5713,0,2,1
Pink Lady,1052.017,1052,1,1,2
Darrell Lea,3954.055,11862,2,1,0
Kinder,1491.816,2984,2,1,1
Pink Lady,4138.418,4138,1,2,2
Kinder,1399.969,4200,2,1,0
Darrell Lea,2111.153,2111,0,1,2
Mars,591.697,1183,0,2,1
Mars,2697.079,5394,1,1,1
Kinder,634.493,634,0,2,2
Cadbury,2173.279,6520,0,0,0
Darrell Lea,3114.407,3114,1,2,2
Mars,3950.758,3951,0,2,2
Mars,3694.68,7389,2,2,1
Darrell Lea,573.469,1147,1,0,1
Darrell Lea,2618.111,2618,1,1,2
Carob Creations,1599.593,4799,0,2,0
Carob Creations,1832.685,1833,0,0,2
Kinder,2756.925,8271,0,1,0
Ferrero,708.182,1416,2,2,1
Pink Lady,2717.944,5436,1,0,1
Carob Creations,3454.254,10363,2,1,0
Ferrero,1219.323,3658,1,0,0
Cadbury,3800.825,3801,1,2,2
Mars,738.682,1477,2,1,1
Darrell Lea,1498.887,1499,0,0,2
Darrell Lea,4034.064,8068,2,2,1
Mars,2447.312,2447,1,1,2
Carob Creations,1950.29,5851,2,1,0
Cadbury,305.48,916,2,2,0
Kinder,635.347,1906,0,0,0
Cadbury,4044.056,12132,2,0,0
Kinder,3059.085,3059,1,2,2
Ferrero,2631,5262,1,2,1
Mars,2055.383,6166,1,1,0
Pink Lady,3554.104,3554,2,2,2
Darrell Lea,2903.118,5806,0,2,1
Ferrero,1064.446,3193,2,0,0
Pink Lady,2299.418,4599,1,2,1
Darrell Lea,501.389,1504,0,2,0
Carob Creations,570.633,1141,2,0,1
Carob Creations,1852.594,3705,0,2,1
Cadbury,2151.114,4302,1,1,1
Ferrero,505.071,1515,1,1,0
Pink Lady,2380.406,7141,1,1,0
Cadbury,215.762,432,1,0,1
Pink Lady,1725.838,5178,1,1,0
Pink Lady,557.934,1116,0,1,1
Carob Creations,574.285,1723,0,1,0
Lindt,3050.852,9153,2,1,0
Lindt,3752.107,3752,1,1,2
Cadbury,1783.873,5352,1,0,0
Darrell Lea,1190.701,1191,1,0,2
Pink Lady,4025.829,12077,2,0,0
Kinder,2923.309,5847,0,0,1
Darrell Lea,1673.043,3346,2,0,1
Kinder,1851.279,5554,0,1,0
Mars,947.069,1894,2,1,1
Lindt,3721.373,11164,0,1,0
Cadbury,499.121,998,0,2,1
Carob Creations,3121.23,3121,1,1,2
Lindt,3923.234,7846,1,1,1
Carob Creations,1036.405,1036,2,2,2
Pink Lady,2830.376,8491,2,1,0
Darrell Lea,2825.353,2825,1,0,2
Pink Lady,3951.856,7904,1,0,1
Cadbury,1811.656,5435,1,2,0
Mars,1646.127,4938,1,2,0
Pink Lady,3406.598,10220,2,1,0
Mars,1429.825,1430,1,0,2
Carob Creations,959.099,959,0,2,2
Lindt,3785.333,11356,2,0,0
Carob Creations,1263.919,3792,1,0,0
Mars,679.705,2039,0,2,0
Pink Lady,1310.658,3932,1,0,0
Lindt,1138.823,1139,1,0,2
Mars,1302.452,2605,0,2,1
Pink Lady,1187.89,1188,1,0,2
Mars,206.262,413,2,0,1
Lindt,3097.388,6195,2,2,1
Darrell Lea,3372.462,6745,2,0,1
Carob Creations,1331.477,3994,2,1,0
Mars,1274.38,1274,2,0,2
Mars,1542.341,1542,0,0,2
Pink Lady,4086.743,8173,0,0,1
Carob Creations,618.303,1855,1,2,0
Pink Lady,1822.803,1823,1,0,2
Kinder,107.671,108,0,1,2
Ferrero,243.757,244,0,2,2
Mars,1750.777,3502,0,1,1
Cadbury,3870.82,3871,1,2,2
Pink Lady,2247.209,2247,2,1,2
Darrell Lea,3821.333,11464,2,0,0
Ferrero,3785.305,3785,2,1,2
Darrell Lea,3394.393,10183,1,2,0
Mars,1336.635,2673,2,0,1
Kinder,788.153,788,1,1,2
Carob Creations,3153.612,9461,1,2,0
Darrell Lea,1338.54,1339,1,2,2
Pink Lady,1218.167,2436,0,0,1
Cadbury,2858.833,2859,2,0,2
Carob Creations,1120.809,3362,1,2,0
Darrell Lea,1738.113,1738,1,1,2
Ferrero,3194.795,9584,2,1,0
Mars,539.959,1080,2,0,1
Kinder,1827.459,1827,1,2,2
Cadbury,210.503,211,2,2,2
Mars,3657.44,3657,1,1,2
Carob Creations,1465.231,2930,1,1,1
Ferrero,3737.729,3738,0,0,2
Carob Creations,1780.145,3560,0,2,1
Lindt,890.567,2672,2,1,0
Lindt,420.218,420,0,2,2
Kinder,2625.815,2626,0,1,2
Kinder,3843.374,3843,1,0,2
Pink Lady,3977.209,11932,1,0,0
Lindt,903.533,904,0,2,2
Pink Lady,501.148,501,1,0,2
Carob Creations,3569.242,3569,2,1,2
Pink Lady,679.164,679,0,0,2
Cadbury,3137.502,9413,0,0,0
Ferrero,1282.858,1283,0,1,2
Lindt,21.137,21,0,0,2
Mars,1382.066,2764,0,0,1
Kinder,1608.253,1608,1,2,2
Mars,3453.38,6907,2,2,1
Ferrero,2934.147,2934,1,2,2
Mars,1329.214,3988,0,2,0
Carob Creations,2435.122,7305,1,1,0
Ferrero,2553.677,5107,0,0,1
Darrell Lea,2523.128,5046,0,0,1
Lindt,2841.314,8524,1,0,0
Darrell Lea,1883.792,1884,1,2,2
Lindt,3101.667,6203,2,1,1
Pink Lady,1040.106,3120,2,2,0
Ferrero,2513.932,7542,1,2,0
Lindt,1151.379,2303,1,0,1
Pink Lady,3066.621,6133,1,2,1
Cadbury,1793.989,1794,1,0,2
Lindt,1782.603,3565,1,0,1
Darrell Lea,1346.209,4039,0,1,0
Ferrero,2200.409,2200,1,0,2
Lindt,2832.092,2832,1,1,2
Ferrero,448.282,1345,0,2,0
Cadbury,1805.566,5417,2,1,0
Carob Creations,606.99,1214,0,1,1
Darrell Lea,1532.314,1532,1,1,2
Mars,634.947,635,1,0,2
Kinder,3234.103,6468,1,0,1
Ferrero,1228.49,1228,0,2,2
Pink Lady,2809.62,8429,2,0,0
Mars,3305.06,9915,1,1,0
Lindt,1568.304,4705,1,2,0
Ferrero,1266.253,2533,2,0,1
Carob Creations,2083.112,4166,0,2,1
Pink Lady,2147.345,2147,2,0,2
Kinder,45.903,46,0,1,2
Carob Creations,316.254,949,0,2,0
Pink Lady,692.293,2077,1,0,0
Lindt,144.423,289,2,1,1
Lindt,111.528,112,2,2,2
Darrell Lea,442.211,1327,2,2,0
Ferrero,677.52,1355,2,1,1
Kinder,1336.684,1337,1,1,2
Mars,1677.331,3355,0,0,1
Cadbury,2470.984,4942,2,2,1
Carob Creations,1704.987,1705,0,0,2
Lindt,3320.453,6641,0,1,1
Cadbury,1422.071,2844,0,0,1
Ferrero,1652.329,1652,2,2,2
Mars,1840.547,3681,2,1,1
Kinder,632.227,1264,1,0,1
Cadbury,2755.474,5511,2,1,1
Mars,3395.944,3396,1,0,2
Cadbury,1728.639,1729,1,0,2
Ferrero,3816.901,3817,1,2,2
Cadbury,2040.672,6122,1,1,0
Kinder,2811.972,5624,0,1,1
Carob Creations,1625.52,3251,1,2,1
Mars,3328.475,9985,2,1,0
Carob Creations,537.794,1613,1,2,0
Cadbury,4079.608,8159,0,0,1
Ferrero,2768.98,2769,2,2,2
Cadbury,22.283,67,1,0,0
Pink Lady,3056.826,3057,1,2,2
Darrell Lea,316.684,950,2,1,0
Carob Creations,1229.184,2458,1,2,1
Cadbury,3401.364,6803,0,2,1
Lindt,3256.104,6512,0,2,1
Mars,1247.944,1248,1,0,2
Ferrero,2058.55,4117,1,0,1
Carob Creations,83.052,83,0,0,2
Carob Creations,1415.962,2832,0,0,1
Ferrero,3587.446,10762,1,2,0
Kinder,390.652,1172,1,2,0
Carob Creations,3604.59,7209,1,2,1
Carob Creations,4084.254,12253,0,2,0
Kinder,2408.013,7224,2,2,0
Mars,1453.125,4359,2,0,0
Lindt,408.507,817,1,2,1
Pink Lady,495.861,1488,0,0,0
Lindt,2880.869,2881,2,0,2
Darrell Lea,262.251,525,0,1,1
Kinder,3994.626,11984,2,0,0
Carob Creations,524.917,1575,2,1,0
Lindt,3917.776,3918,0,2,2
Pink Lady,370.358,370,1,1,2
Pink Lady,1205.107,3615,1,0,0
Mars,1687.855,1688,2,0,2
Cadbury,3431.844,6864,0,1,1
Carob Creations,1528.586,1529,2,0,2
Kinder,464.898,930,2,0,1
Kinder,2636.901,7911,0,0,0
Cadbury,3361.598,6723,0,2,1
Lindt,1240.14,1240,2,1,2
Darrell Lea,3451.372,6903,1,0,1
Cadbury,1268.994,3807,1,1,0
Carob Creations,3238.829,9716,2,0,0
Kinder,503.985,1512,1,1,0
Ferrero,3862.761,7726,0,2,1
Mars,1472.991,2946,1,0,1
Ferrero,2689.545,8069,1,1,0
Ferrero,3152.591,6305,1,0,1
Darrell Lea,406.9,407,0,0,2
Kinder,3147.417,3147,1,2,2
Cadbury,2846.222,2846,2,0,2
Pink Lady,3746.168,11239,0,2,0
Cadbury,3171.527,6343,1,1,1
Lindt,1093.529,3281,0,0,0
Mars,940.486,2821,0,1,0
Darrell Lea,638.501,1277,1,1,1
Pink Lady,1211.817,3635,2,1,0
Kinder,3583.039,3583,1,2,2
Carob Creations,583.169,1750,0,0,0
Ferrero,1585.39,4756,0,1,0
Pink Lady,3248.784,9746,1,1,0
Carob Creations,339.89,340,1,0,2
Ferrero,3599.288,10798,2,1,0
Pink Lady,532.617,1598,1,0,0
Carob Creations,640.378,1281,1,0,1
Mars,2541.608,7625,0,0,0
Cadbury,2374.306,4749,2,2,1
Lindt,1332.634,3998,2,2,0
Kinder,452.575,1358,2,2,0
Carob Creations,1701.242,5104,0,2,0
Ferrero,2187.318,6562,1,1,0
Kinder,143.529,287,2,0,1
Lindt,3824.456,3824,1,0,2
Lindt,2372.104,7116,1,2,0
Darrell Lea,3242.064,6484,1,2,1
Mars,1064.888,2130,1,2,1
Pink Lady,1822.939,3646,0,2,1
Darrell Lea,906.693,1813,0,1,1
Mars,202.213,404,2,2,1
Carob Creations,1994.132,5982,0,2,0
Mars,2897.389,5795,1,1,1
Kinder,759.802,1520,1,1,1
Cadbury,3641.715,3642,1,1,2
Cadbury,2822.924,2823,1,0,2
Kinder,1069.049,2138,1,1,1
Pink Lady,387.422,775,2,0,1
Ferrero,2638.349,7915,0,2,0
Lindt,1911.072,1911,1,0,2
Ferrero,412.684,1238,0,1,0
Kinder,3560.752,7122,0,0,1
Lindt,508.846,1527,1,0,0
Carob Creations,2185.977,2186,1,2,2
Kinder,313.157,939,1,1,0
Darrell Lea,3612.665,7225,1,2,1
Carob Creations,774.301,1549,1,2,1
Kinder,3982.559,11948,2,2,0
Lindt,575.039,1150,1,2,1
Carob Creations,1181.042,1181,1,1,2
Pink Lady,2198.229,6595,1,2,0
Pink Lady,999.746,1000,0,0,2
Carob Creations,2001.308,6004,1,0,0
Pink Lady,3737.542,7475,2,1,1
Mars,107.498,107,1,0,2
Mars,3676.155,11028,0,2,0
Lindt,1205.4,1205,1,1,2
Pink Lady,2058.674,6176,2,2,0
Lindt,2341.486,2341,0,2,2
Kinder,3868.346,3868,1,1,2
Cadbury,2376.39,7129,2,1,0
Darrell Lea,3718.536,3719,2,2,2
Kinder,3911.228,7822,2,1,1
Lindt,2636.439,5273,0,1,1
Ferrero,3878.737,11636,1,1,0
Pink Lady,353.747,1061,0,1,0
Cadbury,3282.684,6565,2,1,1
Pink Lady,3729.556,3730,0,1,2
Carob Creations,4083.439,8167,2,2,1
Lindt,1199.633,3599,1,1,0
Lindt,2491.587,4983,0,1,1
Pink Lady,1112.42,3337,1,0,0
Carob Creations,2761.897,5524,0,1,1
Carob Creations,669.187,2008,0,1,0
Carob Creations,737.254,737,2,2,2
Darrell Lea,3490.14,3490,2,0,2
Ferrero,311.003,622,2,2,1
Cadbury,2269.697,4539,2,1,1
Ferrero,3588.178,3588,2,2,2
Mars,2120.524,2121,2,2,2
Carob Creations,107.236,107,0,1,2
Ferrero,1927.985,5784,2,0,0
Carob Creations,3412.749,6825,2,0,1
Ferrero,1246.835,3741,2,0,0
Pink Lady,1725.465,1725,2,0,2
Ferrero,2747.049,8241,1,2,0
Cadbury,1896.208,3792,1,0,1
Mars,1421.449,1421,2,0,2
Mars,3383.54,6767,1,0,1
Darrell Lea,1573.284,1573,1,1,2
Lindt,1270.902,2542,0,1,1
Cadbury,817.664,1635,2,0,1
Carob Creations,3356.01,3356,1,0,2
Darrell Lea,3659.742,7319,1,2,1
Kinder,2854.777,2855,0,0,2
Ferrero,2891.149,5782,2,2,1
Carob Creations,1926.843,5781,1,0,0
Pink Lady,2433.006,4866,0,2,1
Mars,3936.404,3936,1,0,2
Pink Lady,1853.675,3707,1,2,1
Mars,2085.352,4171,0,2,1
Darrell Lea,2974.35,2974,2,1,2
Mars,4102.068,12306,2,1,0
Cadbury,25.872,26,2,1,2
Ferrero,1923.331,5770,0,1,0
Darrell Lea,3546.889,10641,1,2,0
Darrell Lea,869.63,1739,0,1,1
Pink Lady,994.377,2983,1,0,0
Pink Lady,3440.206,3440,0,0,2
Ferrero,190.602,381,1,1,1
Pink Lady,724.046,2172,1,1,0
Darrell Lea,940.076,940,2,0,2
Pink Lady,2991.186,5982,0,1,1
Mars,3144.128,3144,2,2,2
Pink Lady,3622.616,7245,2,0,1
Ferrero,1525.432,1525,2,1,2
Cadbury,2719.475,8158,0,2,0
Ferrero,2452.813,4906,1,2,1
Kinder,2785.193,5570,1,2,1
Lindt,2056.481,2056,1,0,2
Darrell Lea,1041.494,1041,2,1,2
Carob Creations,4098.678,8197,2,1,1
Darrell Lea,2675.982,2676,0,1,2
Cadbury,1216.31,1216,1,1,2
Darrell Lea,590.801,1182,1,1,1
Kinder,3545.305,3545,2,2,2
Pink Lady,2875.364,8626,0,2,0
Cadbury,1887.659,3775,2,2,1
Darrell Lea,3632.307,10897,2,0,0
Lindt,3673.817,11021,1,1,0
Carob Creations,1477.102,4431,1,1,0
Cadbury,353.119,1059,1,2,0
Mars,3111.487,9334,0,0,0
Kinder,466.334,933,0,1,1
Lindt,1537.359,3075,1,0,1
Mars,500.052,1000,2,1,1
Carob Creations,3375.857,6752,0,2,1
Lindt,3800.219,3800,1,1,2
Carob Creations,414.622,829,0,2,1
Darrell Lea,1212.419,3637,0,2,0
Cadbury,2877.072,5754,2,1,1
Cadbury,846.5,1693,0,1,1
Cadbury,2563.728,2564,1,2,2
Kinder,344.818,1034,0,1,0
Darrell Lea,2977.794,2978,2,0,2
Pink Lady,3408.926,3409,2,1,2
Ferrero,2372.518,7118,0,2,0
Mars,3172.842,6346,0,2,1
Darrell Lea,519.597,520,2,2,2
Ferrero,2239.893,6720,2,1,0
Cadbury,3987.084,7974,2,2,1
Ferrero,2926.281,2926,1,1,2
Kinder,3907.199,3907,2,1,2
Carob Creations,2148.622,6446,0,1,0
Pink Lady,2387.694,7163,2,0,0
Mars,2137.852,2138,2,0,2
Lindt,974.949,1950,2,0,1
Carob Creations,3114.415,3114,0,0,2
Cadbury,2961.177,2961,0,1,2
Cadbury,1461.382,2923,1,1,1
Darrell Lea,650.86,1302,0,2,1
Mars,3388.592,3389,0,1,2
Lindt,1911.606,3823,1,2,1
Kinder,2702.193,8107,1,1,0
Kinder,67.194,67,1,1,2
Kinder,2394.645,7184,1,0,0
Mars,575.804,1152,0,0,1
Mars,890.611,1781,0,1,1
Cadbury,1726.51,3453,0,2,1
Cadbury,2986.172,8959,2,1,0
Mars,677.841,2034,0,0,0
Mars,1511.968,1512,1,0,2
Cadbury,2712.819,5426,1,1,1
Lindt,2470.243,4940,2,0,1
Carob Creations,3443.805,10331,0,0,0
Carob Creations,2097.298,4195,1,2,1
Darrell Lea,788.679,1577,1,2,1
Kinder,3852.903,11559,2,1,0
Mars,1460.925,1461,2,1,2
Kinder,3885.154,3885,1,0,2
Carob Creations,2608.923,7827,1,0,0
Darrell Lea,370.848,1113,2,2,0
Cadbury,2186.341,4373,2,0,1
Carob Creations,1608.765,1609,1,0,2
Pink Lady,3108.958,9327,2,1,0
Pink Lady,1226.37,1226,0,0,2
Mars,4175.623,12527,1,0,0
Kinder,1457.414,4372,1,0,0
Mars,3122.414,9367,0,0,0
Ferrero,2937.352,2937,2,2,2
Pink Lady,3133.795,3134,2,0,2
Lindt,1892.824,1893,2,1,2
Cadbury,2276.084,2276,1,1,2
Ferrero,2370.385,2370,0,0,2
Ferrero,1714.761,3430,1,2,1
Carob Creations,3212.288,9637,0,1,0
Pink Lady,1552.53,1553,2,1,2
Kinder,1742.81,3486,1,1,1
Lindt,902.409,1805,0,1,1
Pink Lady,2138.048,4276,2,0,1
Kinder,4124.353,8249,2,1,1
Cadbury,3907.133,7814,0,1,1
Pink Lady,3197.34,9592,0,2,0
Ferrero,3593.53,3594,0,0,2
Darrell Lea,1651.827,4955,1,2,0
Pink Lady,2107.298,2107,2,1,2
Carob Creations,3309.334,6619,2,0,1
Carob Creations,2974.188,8923,1,0,0
Darrell Lea,2306.33,4613,0,2,1
Cadbury,3827.909,7656,2,0,1
Cadbury,1235.732,3707,2,2,0
Darrell Lea,1909.362,5728,1,2,0
Mars,3464.793,6930,2,1,1
Mars,2006.937,6021,1,2,0
Carob Creations,487.262,975,1,0,1
Darrell Lea,1056.21,1056,2,0,2
Cadbury,2266.543,2267,2,2,2
Cadbury,3511.609,3512,0,2,2
Kinder,2374.632,7124,0,1,0
Carob Creations,3227.205,3227,1,1,2
Kinder,4014.02,4014,0,2,2
Carob Creations,3867.821,11603,0,0,0
Lindt,3914.656,11744,0,1,0
Lindt,4073.086,4073,0,1,2
Ferrero,3379.036,6758,1,1,1
Carob Creations,336.556,1010,0,1,0
Kinder,738.284,2215,1,2,0
Pink Lady,1761.754,5285,1,0,0
Pink Lady,2473.099,4946,2,2,1
Lindt,4085.656,4086,2,0,2
Mars,1980.154,3960,1,0,1
Darrell Lea,4041.237,4041,2,1,2
Ferrero,1193.426,2387,1,1,1
Carob Creations,2812.568,2813,0,2,2
Pink Lady,1873.253,5620,0,2,0
Cadbury,793.009,2379,0,0,0
Ferrero,394.2,788,2,1,1
Ferrero,2025.478,2025,1,0,2
Darrell Lea,2725.362,5451,1,1,1
Lindt,634.204,1903,0,2,0
Pink Lady,1239.573,1240,1,1,2
Pink Lady,1277.736,1278,2,2,2
Kinder,1596.209,1596,2,2,2
Kinder,2156.59,2157,0,1,2
Lindt,2347.496,2347,0,1,2
Ferrero,2978.26,5957,2,0,1
Carob Creations,1615.941,3232,2,1,1
Pink Lady,26.009,26,1,2,2
Pink Lady,606.126,1212,0,2,1
Darrell Lea,2569.661,7709,1,0,0
Cadbury,3216.157,9648,1,0,0
Kinder,2240.251,6721,2,0,0
Carob Creations,1628.56,4886,1,0,0
Darrell Lea,3124.087,3124,1,0,2
Pink Lady,3926.351,11779,0,1,0
Cadbury,2131.667,6395,0,1,0
Lindt,3046.879,9141,0,2,0
Cadbury,3426.928,3427,2,2,2
Ferrero,2741.344,2741,1,0,2
Kinder,3438.508,3439,1,1,2
Cadbury,2354.301,2354,0,0,2
Cadbury,2863.783,8591,2,2,0
Mars,2834.099,8502,2,0,0
Carob Creations,2033.016,6099,2,0,0
Cadbury,976.156,2928,1,0,0
Cadbury,1419.502,2839,0,0,1
Kinder,840.615,841,2,1,2
Cadbury,259.509,260,2,1,2
Mars,2747.318,2747,0,0,2
Cadbury,1087.523,2175,1,0,1
Mars,2117.618,2118,0,0,2
Pink Lady,493.944,988,2,1,1
Kinder,949.886,1900,2,0,1
Lindt,2733.609,2734,0,0,2
Mars,3942.574,3943,0,2,2
Lindt,1261.695,2523,2,0,1
Kinder,2924.839,5850,1,2,1
Carob Creations,3479.903,6960,0,2,1
Ferrero,3468.637,3469,2,2,2
Lindt,53.652,54,0,0,2
Kinder,745.077,1490,1,2,1
Pink Lady,3802.687,7605,0,0,1
Cadbury,3319.532,3320,1,0,2
Carob Creations,3432.478,10297,2,1,0
Carob Creations,3529.683,3530,0,0,2
Carob Creations,1204.138,2408,0,2,1
Kinder,2701.247,5402,2,0,1
Kinder,1518.706,3037,0,0,1
Cadbury,2948.237,2948,1,0,2
Mars,2849.821,5700,1,1,1
Pink Lady,505.38,1011,1,2,1
Darrell Lea,2019.679,6059,1,1,0
Darrell Lea,1026.993,1027,2,2,2
Darrell Lea,528.296,1057,1,2,1
Lindt,457.632,458,2,2,2
Carob Creations,3734.748,3735,1,1,2
Ferrero,2305.971,6918,2,2,0
Ferrero,2237.352,4475,1,1,1
Ferrero,1725.599,1726,0,1,2
Ferrero,3008.85,3009,0,0,2
Kinder,1505.624,4517,1,0,0
Darrell Lea,3912.988,3913,0,1,2
Lindt,2050.228,2050,1,2,2
Kinder,3616.213,10849,1,1,0
Ferrero,3171.932,6344,0,0,1
Kinder,1444.853,1445,1,1,2
Kinder,460.731,921,1,2,1
Pink Lady,264.432,793,0,0,0
Pink Lady,3948.679,3949,1,2,2
Mars,2920.891,2921,1,1,2
Darrell Lea,4104.254,8209,1,1,1
Carob Creations,246.952,247,1,0,2
Carob Creations,3764.424,7529,1,0,1
Mars,787.072,2361,2,2,0
Mars,894.314,2683,2,0,0
Lindt,2967.903,2968,2,0,2
Mars,2862.852,2863,1,0,2
Mars,3602.082,7204,2,2,1
Darrell Lea,3147.008,6294,0,2,1
Carob Creations,2798.697,2799,1,2,2
Kinder,1223.071,1223,2,0,2
Mars,3264.353,6529,1,0,1
Mars,582.493,582,2,1,2
Cadbury,1734.832,3470,1,0,1
Lindt,631.973,632,0,0,2
Cadbury,1829.007,3658,0,2,1
Kinder,107.02,214,2,2,1
Kinder,3902.998,7806,2,1,1
Carob Creations,3686.677,7373,2,2,1
Darrell Lea,3653.281,7307,2,0,1
Pink Lady,3007.824,3008,2,2,2
Kinder,4100.378,8201,2,1,1
Pink Lady,2715.289,5431,1,1,1
Carob Creations,1195.078,1195,0,2,2
Kinder,2061.698,2062,0,2,2
Pink Lady,85.194,256,0,0,0
Kinder,3251.517,6503,2,2,1
Lindt,416.722,833,1,2,1
Pink Lady,2411.406,2411,2,1,2
Carob Creations,3702.159,3702,1,0,2
Cadbury,1192.787,3578,0,0,0
Cadbury,4167.912,8336,1,0,1
Carob Creations,2511.341,2511,1,2,2
Mars,1172.237,3517,2,2,0
Mars,1154.349,1154,1,0,2
Kinder,2734.772,5470,0,2,1
Pink Lady,3546.89,3547,0,1,2
Carob Creations,3472.764,10418,2,1,0
Mars,1040.834,1041,0,0,2
Darrell Lea,3587.782,3588,0,2,2
Kinder,1640.289,3281,0,0,1
Pink Lady,3877.002,11631,1,0,0
Cadbury,2124.281,4249,1,1,1
Cadbury,91.792,92,0,1,2
Darrell Lea,171.36,171,1,2,2
Mars,613.083,1839,1,0,0
Carob Creations,2507.539,7523,0,2,0
Carob Creations,3653.332,3653,0,1,2
Pink Lady,2505.082,2505,1,2,2
Kinder,4053.303,12160,1,1,0
Carob Creations,2215.514,6647,2,2,0
Darrell Lea,3437.346,10312,0,1,0
Ferrero,3839.289,7679,0,1,1
Ferrero,3767.585,7535,0,2,1
Ferrero,2085.411,2085,0,1,2
Mars,2703.343,2703,2,2,2
Mars,1120.375,2241,2,2,1
Ferrero,2582.31,7747,1,0,0
Pink Lady,3176.088,6352,1,2,1
Kinder,237.399,475,2,2,1
Carob Creations,1059.493,2119,0,0,1
Kinder,1732.018,3464,1,1,1
Mars,3115.306,6231,2,1,1
Mars,1208.286,2417,0,1,1
Carob Creations,1323.018,2646,0,1,1
Ferrero,2371.941,2372,1,1,2
Pink Lady,1096.261,1096,0,2,2
Darrell Lea,1851.263,3703,0,0,1
Cadbury,830.784,2492,1,1,0
Kinder,1724.168,1724,1,0,2
Ferrero,1239.696,2479,0,1,1
Cadbury,2622.572,5245,2,0,1
Carob Creations,2676.081,8028,2,0,0
Kinder,1653.848,3308,1,1,1
Ferrero,3265.117,9795,0,1,0
Kinder,1860.03,3720,0,2,1
Darrell Lea,2272.251,4545,1,1,1
Lindt,3106.492,3106,0,2,2
Darrell Lea,1427.937,4284,0,2,0
Ferrero,3928.993,3929,1,1,2
Ferrero,3512.506,7025,1,1,1
Cadbury,3901.618,3902,1,2,2
Carob Creations,2019.332,6058,2,1,0
Kinder,2794.33,8383,1,2,0
Carob Creations,2383.28,7150,0,1,0
Pink Lady,3049.993,6100,2,0,1
Darrell Lea,1742.804,1743,0,2,2
Darrell Lea,4108.799,4109,1,1,2
Kinder,426.471,853,2,2,1
Kinder,2045.772,6137,1,1,0
Kinder,2368.134,2368,0,2,2
Pink Lady,2804.768,2805,0,0,2
Darrell Lea,3425.631,10277,2,1,0
Pink Lady,259.974,780,2,2,0
Mars,3761.813,11285,2,0,0
Darrell Lea,197.341,197,0,0,2
Mars,2616.935,5234,2,2,1
Mars,1519.218,4558,2,1,0
Darrell Lea,894.824,1790,0,0,1
Carob Creations,1628.061,3256,0,2,1
Carob Creations,1483.746,2967,2,0,1
Darrell Lea,752.18,2257,0,0,0
Lindt,2291.648,6875,0,0,0
Carob Creations,3347.919,3348,0,1,2
Ferrero,1763.41,3527,2,2,1
Darrell Lea,3762.801,3763,1,0,2
Kinder,2821.896,5644,2,2,1
Ferrero,3330.448,3330,1,0,2
Lindt,1403.3,2807,2,2,1
Lindt,2883.443,5767,2,1,1
Mars,1536.745,4610,0,2,0
Cadbury,2424.365,4849,0,2,1
Lindt,823.495,2470,1,0,0
Ferrero,141.779,284,2,0,1
Lindt,175.536,527,0,1,0
Darrell Lea,2294.026,4588,1,1,1
Pink Lady,899.01,2697,2,0,0
Carob Creations,3047.339,9142,2,2,0
Darrell Lea,334.022,668,0,2,1
Ferrero,2172.932,6519,2,0,0
Carob Creations,4007.899,8016,0,2,1
Carob Creations,2810.092,8430,0,0,0
Carob Creations,1897.549,5693,0,0,0
Darrell Lea,1570.888,4713,0,1,0
Pink Lady,1168.68,2337,2,1,1
Mars,1620.789,3242,2,1,1
Lindt,1138.336,3415,2,1,0
Lindt,511.214,1022,2,2,1
Carob Creations,608.226,608,1,1,2
Cadbury,402.087,1206,1,1,0
Pink Lady,1847.665,5543,0,0,0
Lindt,342.196,1027,2,0,0
Darrell Lea,2711.036,8133,2,2,0
Lindt,103.808,208,0,2,1
Pink Lady,1233.545,3701,1,1,0
Mars,655.073,655,2,2,2
Ferrero,123.815,248,0,1,1
Cadbury,3596.298,7193,2,1,1
Darrell Lea,1728.799,1729,0,1,2
Carob Creations,2494.593,4989,2,0,1
Mars,2993.672,2994,1,1,2
Lindt,1653.792,3308,2,0,1
Ferrero,396.757,1190,0,2,0
Carob Creations,1127.871,1128,0,2,2
Ferrero,605.752,1212,0,1,1
Mars,3137.617,6275,0,2,1
Pink Lady,2198.108,2198,2,0,2
Ferrero,693.459,1387,2,2,1
Pink Lady,2055.695,2056,1,1,2
Mars,1385.582,4157,2,2,0
Carob Creations,3693.275,11080,2,2,0
Mars,4141.329,4141,0,1,2
Cadbury,1034.834,2070,1,0,1
Carob Creations,3345.078,10035,0,0,0
Darrell Lea,1593.074,3186,1,1,1
Pink Lady,978.556,979,2,1,2
Ferrero,543.435,543,1,1,2
Kinder,637.623,638,1,1,2
Darrell Lea,2122.719,4245,1,0,1
Cadbury,2775.618,2776,0,0,2
Cadbury,3381.133,10143,1,0,0
Lindt,1517.699,3035,1,0,1
Carob Creations,3462.653,3463,0,1,2
Darrell Lea,3269.925,6540,1,0,1
Lindt,187.263,562,0,1,0
